Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2024,9,Autonomos,Castilla y Leon,21074
2024,9,Autonomos,Cataluna,84956
2024,9,Autonomos,Comunidad Foral de Navarra,3387
2024,9,Autonomos,Comunidad Valenciana,57762
2024,9,Autonomos,Comunidad de Madrid,64844
2024,9,Autonomos,Extremadura,8763
2024,9,Autonomos,Galicia,28443
2024,9,Autonomos,Islas Baleares,18298
2024,9,Autonomos,Pais Vasco,13314
2024,9,Autonomos,Principado de Asturias,8492
2024,9,Autonomos,Region de Murcia,8499
2024,12,Asalariados,Andalucia,372147
2024,12,Asalariados,Aragon,49774
2024,12,Asalariados,Canarias,240611
2024,12,Asalariados,Cantabria,28506
2024,12,Asalariados,Castilla - La Mancha,89655
2024,12,Asalariados,Castilla y Leon,74941
2024,12,Asalariados,Cataluna,453771
2024,12,Asalariados,Ceuta y Melilla,4060
2024,12,Asalariados,Comunidad Foral de Navarra,17802
2024,12,Asalariados,Comunidad Valenciana,253272
2024,12,Asalariados,Comunidad de Madrid,440570
2024,12,Asalariados,Extremadura,24665
2024,12,Asalariados,Galicia,92358
2024,12,Asalariados,Islas Baleares,131448
2024,12,Asalariados,La Rioja,9487
2024,12,Asalariados,Pais Vasco,76867
2024,12,Asalariados,Principado de Asturias,38518
2024,12,Asalariados,Region de Murcia,51548
2024,12,Autonomos,Andalucia,79341
2024,12,Autonomos,Aragon,14428
2024,12,Autonomos,Canarias,27599
2024,12,Autonomos,Cantabria,7602
2024,12,Autonomos,Castilla - La Mancha,18274
2024,12,Autonomos,Castilla y Leon,24213
2024,12,Autonomos,Cataluna,89537
2024,12,Autonomos,Comunidad Valenciana,55842
2024,12,Autonomos,Comunidad de Madrid,69067
2024,12,Autonomos,Extremadura,11451
2024,12,Autonomos,Galicia,28264
2024,12,Autonomos,Islas Baleares,16235
2024,12,Autonomos,Pais Vasco,19839
2024,12,Autonomos,Principado de Asturias,7848
