Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2020,12,Autonomos,Comunidad Valenciana,48055
2020,12,Autonomos,Comunidad de Madrid,58880
2020,12,Autonomos,Extremadura,7669
2020,12,Autonomos,Galicia,26409
2020,12,Autonomos,Islas Baleares,14370
2020,12,Autonomos,La Rioja,3066
2020,12,Autonomos,Pais Vasco,18066
2020,12,Autonomos,Principado de Asturias,11502
2021,3,Asalariados,Andalucia,231306
2021,3,Asalariados,Aragon,35774
2021,3,Asalariados,Canarias,138772
2021,3,Asalariados,Cantabria,17815
2021,3,Asalariados,Castilla - La Mancha,58449
2021,3,Asalariados,Castilla y Leon,53948
2021,3,Asalariados,Cataluna,313170
2021,3,Asalariados,Comunidad Foral de Navarra,17761
2021,3,Asalariados,Comunidad Valenciana,155026
2021,3,Asalariados,Comunidad de Madrid,321028
2021,3,Asalariados,Extremadura,16772
2021,3,Asalariados,Galicia,74060
2021,3,Asalariados,Islas Baleares,91117
2021,3,Asalariados,La Rioja,6502
2021,3,Asalariados,Pais Vasco,55966
2021,3,Asalariados,Principado de Asturias,26032
2021,3,Asalariados,Region de Murcia,39111
2021,3,Autonomos,Andalucia,61767
2021,3,Autonomos,Aragon,8795
2021,3,Autonomos,Canarias,25986
2021,3,Autonomos,Cantabria,4242
2021,3,Autonomos,Castilla - La Mancha,17323
2021,3,Autonomos,Castilla y Leon,18708
2021,3,Autonomos,Cataluna,78379
2021,3,Autonomos,Comunidad Valenciana,45619
2021,3,Autonomos,Comunidad de Madrid,66974
2021,3,Autonomos,Extremadura,9114
2021,3,Autonomos,Galicia,24388
2021,3,Autonomos,Islas Baleares,15839
2021,3,Autonomos,Pais Vasco,11358
2021,3,Autonomos,Principado de Asturias,10596
2021,3,Autonomos,Region de Murcia,13477
2021,6,Asalariados,Andalucia,285354
2021,6,Asalariados,Aragon,34339
2021,6,Asalariados,Canarias,136548
2021,6,Asalariados,Cantabria,20227
2021,6,Asalariados,Castilla - La Mancha,65121
2021,6,Asalariados,Castilla y Leon,57773
2021,6,Asalariados,Cataluna,340033
2021,6,Asalariados,Ceuta y Melilla,4398
2021,6,Asalariados,Comunidad Foral de Navarra,16164
2021,6,Asalariados,Comunidad Valenciana,190551
2021,6,Asalariados,Comunidad de Madrid,332377
2021,6,Asalariados,Extremadura,22666
2021,6,Asalariados,Galicia,81333
2021,6,Asalariados,Islas Baleares,114655
2021,6,Asalariados,La Rioja,8311
2021,6,Asalariados,Pais Vasco,65050
2021,6,Asalariados,Principado de Asturias,33613
2021,6,Asalariados,Region de Murcia,42214
2021,6,Autonomos,Andalucia,84309
2021,6,Autonomos,Aragon,12321
2021,6,Autonomos,Canarias,22860
2021,6,Autonomos,Cantabria,5649
2021,6,Autonomos,Castilla - La Mancha,20671
2021,6,Autonomos,Castilla y Leon,21880
2021,6,Autonomos,Cataluna,84567
2021,6,Autonomos,Comunidad Valenciana,52660
2021,6,Autonomos,Comunidad de Madrid,66982
2021,6,Autonomos,Extremadura,7978
2021,6,Autonomos,Galicia,25204
2021,6,Autonomos,Islas Baleares,23920
2021,6,Autonomos,Pais Vasco,14063
2021,6,Autonomos,Principado de Asturias,10992
2021,6,Autonomos,Region de Murcia,13600
2021,9,Asalariados,Andalucia,335556
2021,9,Asalariados,Aragon,44868
2021,9,Asalariados,Canarias,176648
2021,9,Asalariados,Cantabria,32213
2021,9,Asalariados,Castilla - La Mancha,79447
2021,9,Asalariados,Castilla y Leon,70031
2021,9,Asalariados,Cataluna,365669
2021,9,Asalariados,Ceuta y Melilla,5471
2021,9,Asalariados,Comunidad Foral de Navarra,19186
2021,9,Asalariados,Comunidad Valenciana,210104
2021,9,Asalariados,Comunidad de Madrid,356547
2021,9,Asalariados,Extremadura,21732
2021,9,Asalariados,Galicia,87460
2021,9,Asalariados,Islas Baleares,152801
2021,9,Asalariados,La Rioja,9208
2021,9,Asalariados,Pais Vasco,67172
2021,9,Asalariados,Principado de Asturias,38675
2021,9,Asalariados,Region de Murcia,42409
2021,9,Autonomos,Andalucia,75558
2021,9,Autonomos,Aragon,12891
2021,9,Autonomos,Canarias,22783
2021,9,Autonomos,Cantabria,5744
2021,9,Autonomos,Castilla - La Mancha,22144
2021,9,Autonomos,Castilla y Leon,25208
2021,9,Autonomos,Cataluna,90616
2021,9,Autonomos,Comunidad Foral de Navarra,5004
2021,9,Autonomos,Comunidad Valenciana,57293
2021,9,Autonomos,Comunidad de Madrid,70691
2021,9,Autonomos,Extremadura,7609
2021,9,Autonomos,Galicia,24670
2021,9,Autonomos,Islas Baleares,23355
2021,9,Autonomos,Pais Vasco,16631
2021,9,Autonomos,Principado de Asturias,9932
2021,9,Autonomos,Region de Murcia,15820
2021,12,Asalariados,Andalucia,314650
2021,12,Asalariados,Aragon,46744
2021,12,Asalariados,Canarias,208021
2021,12,Asalariados,Cantabria,22891
2021,12,Asalariados,Castilla - La Mancha,70284
2021,12,Asalariados,Castilla y Leon,71347
2021,12,Asalariados,Cataluna,332541
2021,12,Asalariados,Ceuta y Melilla,4145
2021,12,Asalariados,Comunidad Foral de Navarra,18410
2021,12,Asalariados,Comunidad Valenciana,201768
2021,12,Asalariados,Comunidad de Madrid,332876
2021,12,Asalariados,Extremadura,19448
2021,12,Asalariados,Galicia,83014
2021,12,Asalariados,Islas Baleares,97324
2021,12,Asalariados,La Rioja,8274
2021,12,Asalariados,Pais Vasco,71152
2021,12,Asalariados,Principado de Asturias,33357
2021,12,Asalariados,Region de Murcia,42797
2021,12,Autonomos,Andalucia,82618
2021,12,Autonomos,Aragon,11400
2021,12,Autonomos,Canarias,22096
2021,12,Autonomos,Cantabria,5231
2021,12,Autonomos,Castilla - La Mancha,19861
2021,12,Autonomos,Castilla y Leon,25346
2021,12,Autonomos,Cataluna,88651
2021,12,Autonomos,Comunidad Foral de Navarra,6167
2021,12,Autonomos,Comunidad Valenciana,48169
2021,12,Autonomos,Comunidad de Madrid,69861
2021,12,Autonomos,Extremadura,9436
2021,12,Autonomos,Galicia,24186
2021,12,Autonomos,Islas Baleares,22622
2021,12,Autonomos,Pais Vasco,16357
2021,12,Autonomos,Principado de Asturias,9220
2021,12,Autonomos,Region de Murcia,14362
2022,3,Asalariados,Andalucia,314062
2022,3,Asalariados,Aragon,43600
2022,3,Asalariados,Canarias,190640
2022,3,Asalariados,Cantabria,25714
2022,3,Asalariados,Castilla - La Mancha,74299
2022,3,Asalariados,Castilla y Leon,68533
2022,3,Asalariados,Cataluna,342240
2022,3,Asalariados,Ceuta y Melilla,4062
2022,3,Asalariados,Comunidad Foral de Navarra,21837
2022,3,Asalariados,Comunidad Valenciana,195265
2022,3,Asalariados,Comunidad de Madrid,336539
2022,3,Asalariados,Extremadura,19535
2022,3,Asalariados,Galicia,80394
2022,3,Asalariados,Islas Baleares,99083
2022,3,Asalariados,La Rioja,8187
2022,3,Asalariados,Pais Vasco,70665
2022,3,Asalariados,Principado de Asturias,32187
2022,3,Asalariados,Region de Murcia,40665
2022,3,Autonomos,Andalucia,72172
2022,3,Autonomos,Aragon,11526
2022,3,Autonomos,Canarias,22487
2022,3,Autonomos,Cantabria,5327
2022,3,Autonomos,Castilla - La Mancha,15261
2022,3,Autonomos,Castilla y Leon,32139
2022,3,Autonomos,Cataluna,81541
2022,3,Autonomos,Comunidad Foral de Navarra,6350
2022,3,Autonomos,Comunidad Valenciana,55808
2022,3,Autonomos,Comunidad de Madrid,61926
2022,3,Autonomos,Extremadura,8231
2022,3,Autonomos,Galicia,24895
2022,3,Autonomos,Islas Baleares,19182
2022,3,Autonomos,Pais Vasco,15807
2022,3,Autonomos,Principado de Asturias,9522
2022,3,Autonomos,Region de Murcia,14288
2022,6,Asalariados,Andalucia,354918
2022,6,Asalariados,Aragon,47072
2022,6,Asalariados,Canarias,215012
2022,6,Asalariados,Cantabria,26132
2022,6,Asalariados,Castilla - La Mancha,83341
2022,6,Asalariados,Castilla y Leon,81296
2022,6,Asalariados,Cataluna,365278
2022,6,Asalariados,Ceuta y Melilla,3475
2022,6,Asalariados,Comunidad Foral de Navarra,20696
2022,6,Asalariados,Comunidad Valenciana,225997
2022,6,Asalariados,Comunidad de Madrid,362065
2022,6,Asalariados,Extremadura,20560
2022,6,Asalariados,Galicia,84745
2022,6,Asalariados,Islas Baleares,146925
2022,6,Asalariados,La Rioja,8679
2022,6,Asalariados,Pais Vasco,74959
2022,6,Asalariados,Principado de Asturias,33339
2022,6,Asalariados,Region de Murcia,49570
2022,6,Autonomos,Andalucia,84238
2022,6,Autonomos,Aragon,14142
2022,6,Autonomos,Canarias,30046
2022,6,Autonomos,Cantabria,6954
2022,6,Autonomos,Castilla - La Mancha,18025
2022,6,Autonomos,Castilla y Leon,28189
2022,6,Autonomos,Cataluna,89370
2022,6,Autonomos,Comunidad Foral de Navarra,8605
2022,6,Autonomos,Comunidad Valenciana,64929
2022,6,Autonomos,Comunidad de Madrid,62138
2022,6,Autonomos,Extremadura,9045
2022,6,Autonomos,Galicia,25194
2022,6,Autonomos,Islas Baleares,24152
2022,6,Autonomos,Pais Vasco,15302
2022,6,Autonomos,Principado de Asturias,8900
2022,6,Autonomos,Region de Murcia,20978
2022,9,Asalariados,Andalucia,379194
2022,9,Asalariados,Aragon,42295
2022,9,Asalariados,Canarias,216996
2022,9,Asalariados,Cantabria,32105
2022,9,Asalariados,Castilla - La Mancha,84052
2022,9,Asalariados,Castilla y Leon,83661
2022,9,Asalariados,Cataluna,385277
2022,9,Asalariados,Ceuta y Melilla,4347
2022,9,Asalariados,Comunidad Foral de Navarra,21679
2022,9,Asalariados,Comunidad Valenciana,218519
2022,9,Asalariados,Comunidad de Madrid,332334
2022,9,Asalariados,Extremadura,20664
2022,9,Asalariados,Galicia,90436
2022,9,Asalariados,Islas Baleares,177280
2022,9,Asalariados,La Rioja,10184
2022,9,Asalariados,Pais Vasco,82177
2022,9,Asalariados,Principado de Asturias,39672
2022,9,Asalariados,Region de Murcia,43800
2022,9,Autonomos,Andalucia,84456
2022,9,Autonomos,Aragon,13363
2022,9,Autonomos,Canarias,35891
2022,9,Autonomos,Cantabria,5690
2022,9,Autonomos,Castilla - La Mancha,10442
2022,9,Autonomos,Castilla y Leon,28558
2022,9,Autonomos,Cataluna,97246
2022,9,Autonomos,Comunidad Foral de Navarra,5720
2022,9,Autonomos,Comunidad Valenciana,55394
2022,9,Autonomos,Comunidad de Madrid,53220
2022,9,Autonomos,Extremadura,8423
2022,9,Autonomos,Galicia,23714
2022,9,Autonomos,Islas Baleares,22050
2022,9,Autonomos,Pais Vasco,19035
2022,9,Autonomos,Principado de Asturias,10207
2022,9,Autonomos,Region de Murcia,18543
2022,12,Asalariados,Andalucia,340905
2022,12,Asalariados,Aragon,43313
2022,12,Asalariados,Canarias,220135
2022,12,Asalariados,Cantabria,27760
2022,12,Asalariados,Castilla - La Mancha,81633
2022,12,Asalariados,Castilla y Leon,74329
2022,12,Asalariados,Cataluna,361011
2022,12,Asalariados,Ceuta y Melilla,3599
